Perioden;Dates
1996 1e kwartaal;1-1-1996
1996 2e kwartaal;1-4-1996
1996 3e kwartaal;1-7-1996
1996 4e kwartaal;1-10-1996
1997 1e kwartaal;1-1-1997
1997 2e kwartaal;1-4-1997
1997 3e kwartaal;1-7-1997
1997 4e kwartaal;1-10-1997
1998 1e kwartaal;1-1-1998
1998 2e kwartaal;1-4-1998
1998 3e kwartaal;1-7-1998
1998 4e kwartaal;1-10-1998
1999 1e kwartaal;1-1-1999
1999 2e kwartaal;1-4-1999
1999 3e kwartaal;1-7-1999
1999 4e kwartaal;1-10-1999
2000 1e kwartaal;1-1-2000
2000 2e kwartaal;1-4-2000
2000 3e kwartaal;1-7-2000
2000 4e kwartaal;1-10-2000
2001 1e kwartaal;1-1-2001
2001 2e kwartaal;1-4-2001
2001 3e kwartaal;1-7-2001
2001 4e kwartaal;1-10-2001
2002 1e kwartaal;1-1-2002
2002 2e kwartaal;1-4-2002
2002 3e kwartaal;1-7-2002
2002 4e kwartaal;1-10-2002
2003 1e kwartaal;1-1-2003
2003 2e kwartaal;1-4-2003
2003 3e kwartaal;1-7-2003
2003 4e kwartaal;1-10-2003
2004 1e kwartaal;1-1-2004
2004 2e kwartaal;1-4-2004
2004 3e kwartaal;1-7-2004
2004 4e kwartaal;1-10-2004
2005 1e kwartaal;1-1-2005
2005 2e kwartaal;1-4-2005
2005 3e kwartaal;1-7-2005
2005 4e kwartaal;1-10-2005
2006 1e kwartaal;1-1-2006
2006 2e kwartaal;1-4-2006
2006 3e kwartaal;1-7-2006
2006 4e kwartaal;1-10-2006
2007 1e kwartaal;1-1-2007
2007 2e kwartaal;1-4-2007
2007 3e kwartaal;1-7-2007
2007 4e kwartaal;1-10-2007
2008 1e kwartaal;1-1-2008
2008 2e kwartaal;1-4-2008
2008 3e kwartaal;1-7-2008
2008 4e kwartaal;1-10-2008
2009 1e kwartaal;1-1-2009
2009 2e kwartaal;1-4-2009
2009 3e kwartaal;1-7-2009
2009 4e kwartaal;1-10-2009
2010 1e kwartaal;1-1-2010
2010 2e kwartaal;1-4-2010
2010 3e kwartaal;1-7-2010
2010 4e kwartaal;1-10-2010
2011 1e kwartaal;1-1-2011
2011 2e kwartaal;1-4-2011
2011 3e kwartaal;1-7-2011
2011 4e kwartaal;1-10-2011
2012 1e kwartaal;1-1-2012
2012 2e kwartaal;1-4-2012
2012 3e kwartaal;1-7-2012
2012 4e kwartaal;1-10-2012
2013 1e kwartaal;1-1-2013
2013 2e kwartaal;1-4-2013
2013 3e kwartaal;1-7-2013
2013 4e kwartaal;1-10-2013
2014 1e kwartaal;1-1-2014
2014 2e kwartaal;1-4-2014
2014 3e kwartaal;1-7-2014
2014 4e kwartaal;1-10-2014
2015 1e kwartaal;1-1-2015
2015 2e kwartaal;1-4-2015
2015 3e kwartaal;1-7-2015
2015 4e kwartaal;1-10-2015
2016 1e kwartaal;1-1-2016
2016 2e kwartaal;1-4-2016
2016 3e kwartaal;1-7-2016
2016 4e kwartaal;1-10-2016
2017 1e kwartaal;1-1-2017
2017 2e kwartaal;1-4-2017
2017 3e kwartaal;1-7-2017
2017 4e kwartaal;1-10-2017
2018 1e kwartaal;1-1-2018
2018 2e kwartaal;1-4-2018
2018 3e kwartaal;1-7-2018
2018 4e kwartaal;1-10-2018
2019 1e kwartaal;1-1-2019
2019 2e kwartaal;1-4-2019
2019 3e kwartaal;1-7-2019
2019 4e kwartaal;1-10-2019
2020 1e kwartaal;1-1-2020
2020 2e kwartaal;1-4-2020
2020 3e kwartaal;1-7-2020
2020 4e kwartaal;1-10-2020
2021 1e kwartaal;1-1-2021
2021 2e kwartaal;1-4-2021
2021 3e kwartaal;1-7-2021
2021 4e kwartaal;1-10-2021
2022 1e kwartaal;1-1-2022
2022 2e kwartaal;1-4-2022
